iter,best_so_far
0,937.1860
1,937.1860
2,937.1860
3,912.5398
4,912.5398
5,873.9348
6,873.9348
7,873.9348
8,873.9348
9,873.9348
10,873.9348
11,857.5207
12,857.5207
13,857.5207
14,857.5207
15,798.2326
16,798.2326
17,798.2326
18,798.2326
19,798.2326
20,798.2326
21,798.2326
22,742.6257
23,742.6257
24,742.6257
25,742.6257
26,742.6257
27,742.6257
28,742.6257
29,742.6257
30,742.6257
31,742.0864
32,742.0864
33,742.0864
34,742.0864
35,742.0864
36,714.5901
37,691.2906
38,676.6632
39,676.6632
40,676.6632
41,676.6632
42,648.8930
43,648.8930
44,648.8930
45,648.8930
46,619.5946
47,619.5946
48,619.5946
49,619.5946
50,619.5946
51,619.5946
52,619.5946
53,619.5946
54,615.7036
55,615.7036
56,615.7036
57,615.7036
58,612.0539
59,612.0539
60,612.0539
61,612.0539
62,612.0539
63,612.0539
64,612.0539
65,612.0539
66,612.0539
67,612.0539
68,612.0539
69,612.0539
70,612.0539
71,612.0539
72,612.0539
73,612.0539
74,612.0539
75,612.0539
76,608.2055
77,608.2055
78,608.2055
79,607.2575
80,600.8259
81,600.8259
82,600.8259
83,594.9912
84,594.9912
85,594.9912
86,594.9912
87,594.9912
88,594.9912
89,594.9912
90,594.9912
91,594.9912
92,594.9912
93,591.7820
94,591.7820
95,591.7820
96,591.7820
97,591.7820
98,591.7820
99,591.7820
100,591.7820
101,590.8340
102,590.8340
103,590.8340
104,590.8340
105,590.8340
106,590.8340
107,590.8340
108,590.8340
109,590.8340
110,590.8340
111,590.8340
112,590.8340
113,590.8340
114,590.8340
115,590.8340
116,590.8340
117,590.8340
118,590.8340
119,590.8340
120,590.8340
121,590.8340
122,590.8340
123,590.8340
124,590.8340
125,590.8340
126,590.8340
127,590.8340
128,590.8340
129,590.8340
130,590.8340
131,590.8340
132,590.8340
133,590.8340
134,590.8340
135,590.8340
136,590.8340
137,590.8340
138,590.8340
139,590.8340
140,590.8340
141,590.8340
142,590.8340
143,590.8340
144,590.8340
145,590.8340
146,590.8340
147,590.8340
148,590.8340
